Movie,Rec1,Rec2,Rec3,Rec4,Rec5,Rec6,Rec7,Rec8,Rec9,Rec10
richard iii,0,0,0,0,0,0,0,0,0,0
dead presidents,0,0,0,0,0,0,0,0,0,0
restoration,0,0,0,0,0,0,0,0,0,0
mortal kombat,0,0,0,0,0,0,0,0,0,0
to die for,bend it like beckham,poltergeist,spider-man 2,chimes at midnight,"crouching tiger, hidden dragon",the experiment,"good morning, vietnam",predator 2,indiana jones and the temple of doom,land of plenty
how to make an american quilt,0,0,0,0,0,0,0,0,0,0
se7en,blue velvet,e.t. the extra-terrestrial,party monster,the wind that shakes the barley,persona,dracula,jin-roh: the wolf brigade,freaks,live free or die hard,underworld: evolution
pocahontas,0,0,0,0,0,0,0,0,0,0
when night is falling,0,0,0,0,0,0,0,0,0,0
the usual suspects,0,0,0,0,0,0,0,0,0,0
guardian angel,0,0,0,0,0,0,0,0,0,0
mighty aphrodite,0,0,0,0,0,0,0,0,0,0
lamerica,0,0,0,0,0,0,0,0,0,0
the big green,0,0,0,0,0,0,0,0,0,0
georgia,0,0,0,0,0,0,0,0,0,0
kids of the round table,0,0,0,0,0,0,0,0,0,0
home for the holidays,0,0,0,0,0,0,0,0,0,0
the postman,0,0,0,0,0,0,0,0,0,0
the confessional,0,0,0,0,0,0,0,0,0,0
the indian in the cupboard,0,0,0,0,0,0,0,0,0,0
eye for an eye,0,0,0,0,0,0,0,0,0,0
mr. holland's opus,persepolis,silent light,rope,light of day,wag the dog,heathers,monsoon wedding,arlington road,belle époque,who killed bambi?
don't be a menace to south central while drinking your juice in the hood,0,0,0,0,0,0,0,0,0,0
two if by sea,0,0,0,0,0,0,0,0,0,0
bio-dome,0,0,0,0,0,0,0,0,0,0
lawnmower man 2: beyond cyberspace,0,0,0,0,0,0,0,0,0,0
two bits,0,0,0,0,0,0,0,0,0,0
french twist,indecent proposal,robocop,seabiscuit,billy budd,my best friend,the blue lagoon,the fox & the child,jesus of montreal,kikujiro,the believer
friday,0,0,0,0,0,0,0,0,0,0
from dusk till dawn,aparajito,sweet smell of success,the gold rush,the manchurian candidate,lethal weapon 4,the general,the magnificent seven,the others,lady frankenstein,river of no return
fair game,0,0,0,0,0,0,0,0,0,0
kicking and screaming,0,0,0,0,0,0,0,0,0,0
les miserables,0,0,0,0,0,0,0,0,0,0
bed of roses,0,0,0,0,0,0,0,0,0,0
big bully,0,0,0,0,0,0,0,0,0,0
screamers,0,0,0,0,0,0,0,0,0,0
nico icon,0,0,0,0,0,0,0,0,0,0
the crossing guard,0,0,0,0,0,0,0,0,0,0
the juror,0,0,0,0,0,0,0,0,0,0
the white balloon,0,0,0,0,0,0,0,0,0,0
things to do in denver when you're dead,0,0,0,0,0,0,0,0,0,0
antonia's line,krull,back to the future part iii,sommersby,mrs. doubtfire,y tu mamá también,nowhere in africa,before sunrise,roger & me,grill point,the passion of joan of arc
once upon a time... when we were colored,0,0,0,0,0,0,0,0,0,0
last summer in the hamptons,0,0,0,0,0,0,0,0,0,0
angels and insects,face,pan tadeusz,blink,fantozzi still suffers,airplane ii: the sequel,punishment park,immortal,alice's restaurant,at the earth's core,nuits rouges
white squall,0,0,0,0,0,0,0,0,0,0
dunston checks in,0,0,0,0,0,0,0,0,0,0
black sheep,0,0,0,0,0,0,0,0,0,0
nick of time,the rink,desert saints,the real mccoy,harley davidson and the marlboro man,the lake house,along came a spider,amsterdamned,viva las vegas,james dean,40 days and 40 nights
the journey of august king,0,0,0,0,0,0,0,0,0,0
mary reilly,0,0,0,0,0,0,0,0,0,0
vampire in brooklyn,0,0,0,0,0,0,0,0,0,0
beautiful girls,0,0,0,0,0,0,0,0,0,0
broken arrow,0,0,0,0,0,0,0,0,0,0
a midwinter's tale,0,0,0,0,0,0,0,0,0,0
la haine,0,0,0,0,0,0,0,0,0,0
shopping,0,0,0,0,0,0,0,0,0,0
heidi fleiss: hollywood madam,0,0,0,0,0,0,0,0,0,0
city hall,0,0,0,0,0,0,0,0,0,0
bottle rocket,0,0,0,0,0,0,0,0,0,0
mr. wrong,0,0,0,0,0,0,0,0,0,0
unforgettable,birthday girl,the rink,wedlock,cutaway,the fortune cookie,night at the museum,vampyr,chimes at midnight,the gift,halloween
happy gilmore,0,0,0,0,0,0,0,0,0,0
the bridges of madison county,grbavica: the land of my dreams,bed and board,the silence of the lambs,live flesh,batman & robin,bend it like beckham,bread and tulips,the arrival of a train at la ciotat,star trek vi: the undiscovered country,pocketful of miracles
nobody loves me,0,0,0,0,0,0,0,0,0,0
muppet treasure island,0,0,0,0,0,0,0,0,0,0
catwalk,0,0,0,0,0,0,0,0,0,0
headless body in topless bar,0,0,0,0,0,0,0,0,0,0
braveheart,dead man walking,harry potter and the half-blood prince,beverly hills cop,paradise now,desert hearts,open water,about a boy,e.t. the extra-terrestrial,hotel rwanda,twister
taxi driver,catch me if you can,hero,"lock, stock and two smoking barrels",megacities,the shining,open hearts,shaft in africa,gattaca,bad education,a view to a kill
rumble in the bronx,0,0,0,0,0,0,0,0,0,0
before and after,0,0,0,0,0,0,0,0,0,0
margaret's museum,0,0,0,0,0,0,0,0,0,0
happiness is in the field,0,0,0,0,0,0,0,0,0,0
anne frank remembered,0,0,0,0,0,0,0,0,0,0
the young poisoner's handbook,0,0,0,0,0,0,0,0,0,0
if lucy fell,0,0,0,0,0,0,0,0,0,0
steal big steal little,0,0,0,0,0,0,0,0,0,0
race the sun,0,0,0,0,0,0,0,0,0,0
the boys of st. vincent,0,0,0,0,0,0,0,0,0,0
boomerang,0,0,0,0,0,0,0,0,0,0
chungking express,0,0,0,0,0,0,0,0,0,0
the star maker,0,0,0,0,0,0,0,0,0,0
flirting with disaster,hallam foe,around the world in eighty days,the first wives club,basic instinct 2,letters from iwo jima,jakob the liar,prizzi's honor,a friend of mine,peas at 5:30,vollidiot
the neverending story iii: escape from fantasia,hard to be a god,thunder bay,judex,backlight,guter junge,masques,arena,the assassination bureau,mad max 2: the road warrior,knight of cups
the silences of the palace,0,0,0,0,0,0,0,0,0,0
jupiter's wife,0,0,0,0,0,0,0,0,0,0
pie in the sky,0,0,0,0,0,0,0,0,0,0
angela,0,0,0,0,0,0,0,0,0,0
frankie starlight,0,0,0,0,0,0,0,0,0,0
jade,0,0,0,0,0,0,0,0,0,0
nueba yol,0,0,0,0,0,0,0,0,0,0
sonic outlaws,0,0,0,0,0,0,0,0,0,0
down periscope,0,0,0,0,0,0,0,0,0,0
from the journals of jean seberg,0,0,0,0,0,0,0,0,0,0
man of the year,0,0,0,0,0,0,0,0,0,0
the neon bible,0,0,0,0,0,0,0,0,0,0
target,0,0,0,0,0,0,0,0,0,0
up close & personal,0,0,0,0,0,0,0,0,0,0
the birdcage,0,0,0,0,0,0,0,0,0,0
virgin mary,0,0,0,0,0,0,0,0,0,0
the brothers mcmullen,0,0,0,0,0,0,0,0,0,0
bad boys,0,0,0,0,0,0,0,0,0,0
the amazing panda adventure,0,0,0,0,0,0,0,0,0,0
the basketball diaries,0,0,0,0,0,0,0,0,0,0
an awfully big adventure,0,0,0,0,0,0,0,0,0,0
amateur,0,0,0,0,0,0,0,0,0,0
apollo 13,rumble fish,ocean's thirteen,miami vice,raiders of the lost ark,apocalypse now,lili marleen,mr. magorium's wonder emporium,straw dogs,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,rio bravo
rob roy,0,0,0,0,0,0,0,0,0,0
the addiction,0,0,0,0,0,0,0,0,0,0
batman forever,pi,schindler's list,cube zero,savior,the crime of padre amaro,"the good, the bad and the ugly",the nativity story,in my father's den,the thing,ali: fear eats the soul
belle de jour,the x files,freaks,before sunset,murder at the gallop,the cardinal,the celebration,the bourne ultimatum,akira,jackie brown,the running man
beyond rangoon,american history x,all the way boys,wedlock,the cave of the yellow dog,the golden compass,"bell, book and candle",cutthroat island,the bourne identity,mothra vs. godzilla,rocky balboa
blue in the face,0,0,0,0,0,0,0,0,0,0
canadian bacon,0,0,0,0,0,0,0,0,0,0
casper,dead weekend,salt of this sea,steel,versailles,whoever slew auntie roo?,burn after reading,slc punk,earth,doctor x,blondie plays cupid
clockers,0,0,0,0,0,0,0,0,0,0
congo,0,0,0,0,0,0,0,0,0,0
crimson tide,versailles,kosmos,how stella got her groove back,khadak,no mercy for the rude,the right of the weakest,high school,four lions,juno,"what's up, doc?"
crumb,doppelganger,the liquidator,big river man,maurice,almost an angel,christmas in boston,mercury rising,live nude girls,staten island,shanghai noon
desperado,0,0,0,0,0,0,0,0,0,0
devil in a blue dress,ernest saves christmas,tipping the velvet,vatel,dead bang,vampire's kiss,derailed,angels and insects,friends with money,lowlands,the fifth musketeer
die hard: with a vengeance,p.s. i love you,the final countdown,ronin,pulp fiction,indochine,midnight in the garden of good and evil,letters from iwo jima,the first wives club,wizards of the lost kingdom,frankenstein must be destroyed
the doom generation,0,0,0,0,0,0,0,0,0,0
feast of july,0,0,0,0,0,0,0,0,0,0
first knight,0,0,0,0,0,0,0,0,0,0
free willy 2 - the adventure home,0,0,0,0,0,0,0,0,0,0
hackers,0,0,0,0,0,0,0,0,0,0
jeffrey,0,0,0,0,0,0,0,0,0,0
johnny mnemonic,0,0,0,0,0,0,0,0,0,0
judge dredd,0,0,0,0,0,0,0,0,0,0
jury duty,0,0,0,0,0,0,0,0,0,0
kids,0,0,0,0,0,0,0,0,0,0
living in oblivion,0,0,0,0,0,0,0,0,0,0
lord of illusions,big time,mr. smith goes to washington,the sicilian clan,wayne's world 2,the happening,once in a lifetime: the extraordinary story of the new york cosmos,lenny bruce in 'lenny bruce',twilight,dear frankie,in bar
love & human remains,0,0,0,0,0,0,0,0,0,0
mad love,0,0,0,0,0,0,0,0,0,0
mallrats,0,0,0,0,0,0,0,0,0,0
mighty morphin power rangers: the movie,0,0,0,0,0,0,0,0,0,0
moonlight and valentino,0,0,0,0,0,0,0,0,0,0
mute witness,0,0,0,0,0,0,0,0,0,0
nadja,0,0,0,0,0,0,0,0,0,0
the net,night at the museum,the fortune cookie,šíleně smutná princezna,the matrix,thelma & louise,the perfect storm,the breakfast club,eastern promises,pieces of april,the contract
nine months,0,0,0,0,0,0,0,0,0,0
party girl,0,0,0,0,0,0,0,0,0,0
the prophecy,0,0,0,0,0,0,0,0,0,0
reckless,0,0,0,0,0,0,0,0,0,0
safe,0,0,0,0,0,0,0,0,0,0
the scarlet letter,0,0,0,0,0,0,0,0,0,0
the show,0,0,0,0,0,0,0,0,0,0
showgirls,0,0,0,0,0,0,0,0,0,0
smoke,0,0,0,0,0,0,0,0,0,0
something to talk about,0,0,0,0,0,0,0,0,0,0
species,0,0,0,0,0,0,0,0,0,0
the stars fell on henrietta,0,0,0,0,0,0,0,0,0,0
strange days,the science of sleep,wings of desire,alien,aliens vs predator: requiem,the endless summer,batman begins,man of iron,terminator 2: judgment day,berlin: symphony of a great city,young adam
the umbrellas of cherbourg,0,0,0,0,0,0,0,0,0,0
the tie that binds,0,0,0,0,0,0,0,0,0,0
three wishes,0,0,0,0,0,0,0,0,0,0
total eclipse,0,0,0,0,0,0,0,0,0,0
"to wong foo, thanks for everything! julie newmar",0,0,0,0,0,0,0,0,0,0
under siege 2: dark territory,u-571,underground,ringu,best seller,wedlock,final analysis,the fortune cookie,shark!,king kong vs. godzilla,irma la douce
unstrung heroes,0,0,0,0,0,0,0,0,0,0
unzipped,0,0,0,0,0,0,0,0,0,0
a walk in the clouds,0,0,0,0,0,0,0,0,0,0
waterworld,0,0,0,0,0,0,0,0,0,0
white man's burden,0,0,0,0,0,0,0,0,0,0
wild bill,0,0,0,0,0,0,0,0,0,0
the browning version,0,0,0,0,0,0,0,0,0,0
bushwhacked,rock 'n' roll high school,arctic tale,pink floyd: live at pompeii,a tale of two sisters,2010,the sugarland express,precious,midnight in the garden of good and evil,dune,a slit-mouthed woman
burnt by the sun,0,0,0,0,0,0,0,0,0,0
before the rain,0,0,0,0,0,0,0,0,0,0
before sunrise,krull,antonia's line,back to the future part iii,"good bye, lenin!",absolute power,star trek v: the final frontier,annaluise & anton,to be or not to be,popular music,miller's crossing
billy madison,0,0,0,0,0,0,0,0,0,0
the babysitter,0,0,0,0,0,0,0,0,0,0
boys on the side,0,0,0,0,0,0,0,0,0,0
the cure,0,0,0,0,0,0,0,0,0,0
castle freak,0,0,0,0,0,0,0,0,0,0
circle of friends,0,0,0,0,0,0,0,0,0,0
clerks,night at the museum,star wars: episode iii - revenge of the sith,open your eyes,wattstax,carrie,vampyr,hostage,"one, two, three",ghostbusters ii,sleuth
don juan demarco,school of rock,rope,die hard 2,will penny,hostel,princesses,imagine me & you,monsoon wedding,the 39 steps,who killed bambi?
disclosure,k-19: the widowmaker,don't look down,the very thought of you,yesterday,the hunchback of notre dame,big bad mama,confession of a child of the century,loose screws,bad boys ii,5 card stud
dream man,0,0,0,0,0,0,0,0,0,0
drop zone,light of day,gods and monsters,5 card stud,rope,and then there were none,shock,the great outdoors,young and innocent,rambo iii,mercy
destiny turns on the radio,0,0,0,0,0,0,0,0,0,0
death and the maiden,0,0,0,0,0,0,0,0,0,0
dolores claiborne,0,0,0,0,0,0,0,0,0,0
dumb and dumber,0,0,0,0,0,0,0,0,0,0
eat drink man woman,0,0,0,0,0,0,0,0,0,0
exotica,0,0,0,0,0,0,0,0,0,0
exit to eden,0,0,0,0,0,0,0,0,0,0
ed wood,veer-zaara,barton fink,million dollar baby,comanche station,monsieur  hulot's holiday,the forbidden kingdom,point break,high noon,the thirteenth floor,the killing
french kiss,a mighty heart,east of eden,paranoid park,brubaker,what lies beneath,live and become,captain america: the first avenger,the empire strikes back,praxis dr. hasenbein,my blueberry nights
forget paris,0,0,0,0,0,0,0,0,0,0
far from home: the adventures of yellow dog,0,0,0,0,0,0,0,0,0,0
a goofy movie,0,0,0,0,0,0,0,0,0,0
hideaway,0,0,0,0,0,0,0,0,0,0
fluke,0,0,0,0,0,0,0,0,0,0
farinelli,0,0,0,0,0,0,0,0,0,0
gordy,0,0,0,0,0,0,0,0,0,0
gumby: the movie,0,0,0,0,0,0,0,0,0,0
the glass shield,0,0,0,0,0,0,0,0,0,0
hoop dreams,0,0,0,0,0,0,0,0,0,0
heavenly creatures,solar crisis,adam's apples,raw deal,the getaway,"i, robot",licence to kill,dogtown and z-boys,the grapes of wrath,the terminal,the last samurai
houseguest,0,0,0,0,0,0,0,0,0,0
immortal beloved,0,0,0,0,0,0,0,0,0,0
heavyweights,0,0,0,0,0,0,0,0,0,0
the hunted,0,0,0,0,0,0,0,0,0,0
i.q.,0,0,0,0,0,0,0,0,0,0
interview with the vampire,rosemary's baby,m,the cave of the yellow dog,judgment night,sissi,romeo + juliet,solaris,ocean's eleven,the golden compass,a nightmare on elm street
jefferson in paris,0,0,0,0,0,0,0,0,0,0
the jerky boys,0,0,0,0,0,0,0,0,0,0
junior,the domino principle,the wrong guys,metro,mister roberts,just a question of love,boogeyman,the legend of bagger vance,takva: a man's fear of god,hotel very welcome,visions of europe
just cause,0,0,0,0,0,0,0,0,0,0
a kid in king arthur's court,0,0,0,0,0,0,0,0,0,0
kiss of death,0,0,0,0,0,0,0,0,0,0
star wars,aliens vs predator: requiem,psycho,night on earth,titanic,big fish,romeo + juliet,cockles and muscles,sissi,2001: a space odyssey,48 hrs.
little women,0,0,0,0,0,0,0,0,0,0
a little princess,0,0,0,0,0,0,0,0,0,0
ladybird ladybird,0,0,0,0,0,0,0,0,0,0
l'enfer,0,0,0,0,0,0,0,0,0,0
like water for chocolate,0,0,0,0,0,0,0,0,0,0
legends of the fall,my super ex-girlfriend,grande école,kikujiro,40 days and 40 nights,robocop,flesh,supergator,orpheus,the believer,billy budd
major payne,0,0,0,0,0,0,0,0,0,0
little odessa,0,0,0,0,0,0,0,0,0,0
mi vida loca,0,0,0,0,0,0,0,0,0,0
love affair,0,0,0,0,0,0,0,0,0,0
losing isaiah,0,0,0,0,0,0,0,0,0,0
the madness of king george,0,0,0,0,0,0,0,0,0,0
mary shelley's frankenstein,this man must die,the diving bell and the butterfly,yella,seven blood-stained orchids,romeo is bleeding,what's eating gilbert grape,madame bovary,wasabi,topaz,running out of time
man of the house,0,0,0,0,0,0,0,0,0,0
mixed nuts,0,0,0,0,0,0,0,0,0,0
milk money,0,0,0,0,0,0,0,0,0,0
miracle on 34th street,0,0,0,0,0,0,0,0,0,0
miami rhapsody,0,0,0,0,0,0,0,0,0,0
my family,0,0,0,0,0,0,0,0,0,0
murder in the first,0,0,0,0,0,0,0,0,0,0
nobody's fool,0,0,0,0,0,0,0,0,0,0
nell,lonely hearts,dead man,"don't worry, i'm fine",the thomas crown affair,the door in the floor,hannibal rising,meet the robinsons,cool hand luke,the good shepherd,"torrente, the dumb arm of the law"
new jersey drive,0,0,0,0,0,0,0,0,0,0
new york cop,0,0,0,0,0,0,0,0,0,0
beyond bedlam,0,0,0,0,0,0,0,0,0,0
nemesis 2 - nebula,0,0,0,0,0,0,0,0,0,0
nina takes a lover,0,0,0,0,0,0,0,0,0,0
natural born killers,the silence of the lambs,"crouching tiger, hidden dragon",the godfather,high fidelity,johnny handsome,go for zucker,cube²: hypercube,trouble in paradise,the bridges of madison county,pocketful of miracles
only you,0,0,0,0,0,0,0,0,0,0
once were warriors,the million dollar hotel,solaris,terminator 3: rise of the machines,three colors: red,say anything...,men in black ii,monsoon wedding,the 39 steps,sleepless in seattle,48 hrs.
poison ivy ii: lily,0,0,0,0,0,0,0,0,0,0
outbreak,the ladykillers,red planet,robinson crusoe on mars,maradona by kusturica,evil alien conquerors,timecop,billion dollar brain,the chorus,dry cleaning,elite squad
leon: the professional,asterix at the olympic games,windows on monday,human nature,olga's house of shame,nostalgia,read it and weep,the prisoner of zenda,comanche station,a bridge too far,men in black ii
the perez family,0,0,0,0,0,0,0,0,0,0
a pyromaniac's love story,sissi: the fateful years of an empress,cape fear,the pianist,me and you and everyone we know,rent,death at a funeral,taxi 3,children of paradise,shrek 2,the last king of scotland
pulp fiction,die hard: with a vengeance,letters from iwo jima,p.s. i love you,the final countdown,indochine,star trek ii: the wrath of khan,lotte from gadgetville,hannibal rising,babel,ronin
panther,0,0,0,0,0,0,0,0,0,0
pushing hands,0,0,0,0,0,0,0,0,0,0
priest,0,0,0,0,0,0,0,0,0,0
quiz show,0,0,0,0,0,0,0,0,0,0
picture bride,0,0,0,0,0,0,0,0,0,0
queen margot,0,0,0,0,0,0,0,0,0,0
the quick and the dead,"run, fatboy, run",eye of the tiger,deep impact,wizards of the lost kingdom,big time,amélie au pays des bodin's,cq,the lost continent,the strange love of martha ivers,the rules of attraction
roommates,0,0,0,0,0,0,0,0,0,0
prêt-à-porter,blondie of the follies,layer cake,the harrad experiment,spellbound,jesus of montreal,dead bang,the fifth musketeer,once,maurice,the hunting party
three colors: red,monsoon wedding,the million dollar hotel,solaris,terminator 3: rise of the machines,sissi,say anything...,the 39 steps,the passion of joan of arc,once were warriors,the tunnel
three colors: blue,thunderball,e.t. the extra-terrestrial,diabolique,blue velvet,the flintstones in viva rock vegas,persona,the wizard of oz,paradise now,city of angels,effi briest
three colors: white,0,0,0,0,0,0,0,0,0,0
"red firecracker, green firecracker",0,0,0,0,0,0,0,0,0,0
rent-a-kid,0,0,0,0,0,0,0,0,0,0
relative fear,0,0,0,0,0,0,0,0,0,0
stuart saves his family,0,0,0,0,0,0,0,0,0,0
the swan princess,0,0,0,0,0,0,0,0,0,0
the secret of roan inish,0,0,0,0,0,0,0,0,0,0
the specialist,0,0,0,0,0,0,0,0,0,0
stargate,secret agent super dragon,breakdown,bloodline,earth,pumping iron,viridiana,sleepy hollow,the cotton club,superman,the strange case of dr. jekyll and mr. hyde
the santa clause,0,0,0,0,0,0,0,0,0,0
the shawshank redemption,casablanca,trouble in paradise,the idiots,the terminator,young adam,not here to be loved,raising arizona,wings of desire,alien,to catch a thief
shallow grave,0,0,0,0,0,0,0,0,0,0
suture,0,0,0,0,0,0,0,0,0,0
strawberry and chocolate,0,0,0,0,0,0,0,0,0,0
swimming with sharks,0,0,0,0,0,0,0,0,0,0
the sum of us,0,0,0,0,0,0,0,0,0,0
senior trip,0,0,0,0,0,0,0,0,0,0
to live,0,0,0,0,0,0,0,0,0,0
tank girl,0,0,0,0,0,0,0,0,0,0
tales from the crypt: demon knight,0,0,0,0,0,0,0,0,0,0
star trek: generations,back to the future part iii,man of iron,"faster, pussycat! kill! kill!",d.e.b.s.,the wages of fear,lost in translation,tough enough,romeo + juliet,a clockwork orange,dave chappelle's block party
tales from the hood,0,0,0,0,0,0,0,0,0,0
tom & viv,0,0,0,0,0,0,0,0,0,0
village of the damned,0,0,0,0,0,0,0,0,0,0
tommy boy,0,0,0,0,0,0,0,0,0,0
vanya on 42nd street,0,0,0,0,0,0,0,0,0,0
the underneath,0,0,0,0,0,0,0,0,0,0
the walking dead,0,0,0,0,0,0,0,0,0,0
what's eating gilbert grape,pharaoh,don't come knocking,"amigo, stay away",aguirre: the wrath of god,we own the night,my tutor,light of day,will penny,american pie,houseboat
virtuosity,0,0,0,0,0,0,0,0,0,0
while you were sleeping,cold mountain,nostalgia,asterix at the olympic games,edward scissorhands,men in black ii,the good shepherd,aelita: queen of mars,torrente 3 the protector,a perfect murder,lonely hearts
the war,0,0,0,0,0,0,0,0,0,0
double happiness,0,0,0,0,0,0,0,0,0,0
muriel's wedding,night on earth,willy wonka & the chocolate factory,psycho,young adam,aliens vs predator: requiem,lucky number slevin,star wars,big fish,titanic,the devil wears prada
the baby-sitters club,0,0,0,0,0,0,0,0,0,0
ace ventura: pet detective,frankenstein,crank,the harrad experiment,frankenstein meets the wolf man,the miracle worker,yella,jekyll and hyde ... together again,cinderella man,basic instinct 2,a friend of mine
"the adventures of priscilla, queen of the desert",american pie 2,malcolm x,asterix at the olympic games,married to the mob,the karate kid,reindeer games,cold mountain,barry lyndon,the aviator,the breakfast club
backbeat,0,0,0,0,0,0,0,0,0,0
bitter moon,0,0,0,0,0,0,0,0,0,0
bullets over broadway,0,0,0,0,0,0,0,0,0,0
clear and present danger,0,0,0,0,0,0,0,0,0,0
the client,0,0,0,0,0,0,0,0,0,0
"corrina, corrina",0,0,0,0,0,0,0,0,0,0
crooklyn,0,0,0,0,0,0,0,0,0,0
the crow,0,0,0,0,0,0,0,0,0,0
cobb,0,0,0,0,0,0,0,0,0,0
the flintstones,sunrise: a song of two humans,snow cake,forrest gump,spider-man 2,licence to kill,poltergeist,some like it hot,predator 2,cutaway,"me, myself & irene"
forrest gump,snow cake,licence to kill,some like it hot,cutaway,"me, myself & irene",the last samurai,"i, robot",conquest of the planet of the apes,the flintstones,sunrise: a song of two humans
four weddings and a funeral,wild strawberries,the piano,paradise now,thunderball,the leopard,persona,the flintstones in viva rock vegas,the fog,three colors: blue,the wizard of oz
higher learning,0,0,0,0,0,0,0,0,0,0
i like it like that,0,0,0,0,0,0,0,0,0,0
i love trouble,0,0,0,0,0,0,0,0,0,0
it could happen to you,0,0,0,0,0,0,0,0,0,0
the jungle book,0,0,0,0,0,0,0,0,0,0
"the wonderful, horrible life of leni riefenstahl",0,0,0,0,0,0,0,0,0,0
the lion king,0,0,0,0,0,0,0,0,0,0
little buddha,yankee doodle dandy,meet the parents,bridge to terabithia,stuck on you,fahrenheit 9/11,get carter,taxi 4,belle époque,teheran '43,american pie 2
new nightmare,0,0,0,0,0,0,0,0,0,0
the mask,persona,paradise now,thunderball,e.t. the extra-terrestrial,the flintstones in viva rock vegas,the fog,three colors: blue,diabolique,2046,blue velvet
maverick,0,0,0,0,0,0,0,0,0,0
mrs. parker and the vicious circle,0,0,0,0,0,0,0,0,0,0
the naked gun 33⅓: the final insult,0,0,0,0,0,0,0,0,0,0
the paper,0,0,0,0,0,0,0,0,0,0
reality bites,the chronicles of riddick: dark fury,the dreamers,murder she said,dawn of the dead,the man with the golden arm,nostalgia,carry on screaming,bridge to terabithia,space jam,pleasantville
red rock west,0,0,0,0,0,0,0,0,0,0
ri¢hie ri¢h,0,0,0,0,0,0,0,0,0,0
safe passage,0,0,0,0,0,0,0,0,0,0
the river wild,lisa and the devil,highlander: the final dimension,incognito,waiting for armageddon,don't think about it,team america: world police,"elvira, mistress of the dark",obsession,twilight,a somewhat gentle man
speed,0,0,0,0,0,0,0,0,0,0
speechless,0,0,0,0,0,0,0,0,0,0
